"COMUNE";"PROVINCIA";"REGIONE";"NOME";"MACRO TIPOLOGIA";"TIPOLOGIA";"SCHEDA";"IDFEATURE";"DO_Y";"DO_X";
"Alghero";"SASSARI";"Sardegna";"Alghero";"Città e paesi";"Città";"http://www.comunas.it/xml/comune.php?istat=090003";744;"40.5583876862862";"8.31447210344107";
"Alghero";"SASSARI";"Sardegna";"Base Nautica Usai Srl";"Porti";"Porto turistico";"http://www.sardegnaturismo.it/index.php?xsl=5&s=733&v=2&c=&t=1";1,292;"40.5927419803528";"8.28699945427514";
"Alghero";"SASSARI";"Sardegna";"Bastione della Maddalena";"Edifici e strutture antiche";"Castelli";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742";795;"40.5597923291786";"8.31445042524444";
"Alghero";"SASSARI";"Sardegna";"Bastione della Misericordia";"Edifici e strutture antiche";"Castelli";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742";793;"40.5562256184693";"8.3137559562705";
"Alghero";"SASSARI";"Sardegna";"Bastione della Salve";"Edifici e strutture antiche";"Castelli";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742";790;"40.5599957286733";"8.31099833900376";
"Alghero";"SASSARI";"Sardegna";"Bastione dello Sperone";"Edifici e strutture antiche";"Castelli";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742";794;"40.5564382036596";"8.31518894000463";
"Alghero";"SASSARI";"Sardegna";"Bastione del Mirador";"Edifici e strutture antiche";"Castelli";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742";791;"40.5592046675201";"8.31138471121301";
"Alghero";"SASSARI";"Sardegna";"Bastione di San Giacomo";"Edifici e strutture antiche";"Castelli";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742";792;"40.5569401713912";"8.31224052057893";
"Alghero";"SASSARI";"Sardegna";"Bastione reale";"Edifici e strutture antiche";"Castelli";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17742";789;"40.5605132827471";"8.3108219108441";
"Alghero";"SASSARI";"Sardegna";"Calabona";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=705&v=2&c=45&t=1";1,827;"40.5428681973003";"8.32259875707289";
"Alghero";"SASSARI";"Sardegna";"Cala di Porticciolo";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=712&v=2&c=45&t=1";1,826;"40.6434699221551";"8.18839380466304";
"Alghero";"SASSARI";"Sardegna";"Canal dell'Home mort";"Spiagge";"Rocce";"http://www.sardegnaturismo.it/index.php?xsl=5&s=732&v=2&c=45&t=1";1,624;"40.5251257156612";"8.33039887545004";
"Alghero";"SASSARI";"Sardegna";"Capo Caccia - Isola Piana";"Aree marine protette";"Aree marine protette";"http://www.sardegnaturismo.it/index.php?xsl=15&s=20&v=2&c=44&t=1";357;"40.5938868880472";"8.19272037659695";
"Alghero";"SASSARI";"Sardegna";"Casa De Ferrera";"Insediamenti antichi";"Case e palazzi";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18209";1,179;"40.5592125927061";"8.3133883062367";
"Alghero";"SASSARI";"Sardegna";"Casa Doria";"Insediamenti antichi";"Case e palazzi";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18219";1,177;"40.5578012523274";"8.31327775882021";
"Alghero";"SASSARI";"Sardegna";"Cattedrale di Santa Maria";"Chiese";"Chiese";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18341";450;"40.5589864099618";"8.31266386969228";
"Alghero";"SASSARI";"Sardegna";"Chiesa del Carmine";"Chiese";"Chiese";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=24793";591;"40.5567646031726";"8.31284354574261";
"Alghero";"SASSARI";"Sardegna";"Chiesa della Misericordia";"Chiese";"Chiese";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=24796";593;"40.55719234174";"8.31441099209894";
"Alghero";"SASSARI";"Sardegna";"Chiesa del Rosario";"Chiese";"Chiese";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=24795";592;"40.5589721421339";"8.31304280943086";
"Alghero";"SASSARI";"Sardegna";"Chiesa di San Francesco";"Chiese";"Chiese";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18261";551;"40.5581890480114";"8.31384287301644";
"Alghero";"SASSARI";"Sardegna";"Chiesa di San Michele";"Chiese";"Chiese";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18293";550;"40.5565161136483";"8.3186428535605";
"Alghero";"SASSARI";"Sardegna";"Complesso di Palmavera";"Edifici e strutture antiche";"Villaggi nuragici";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20702";840;"40.5949907253349";"8.24282491488224";
"Alghero";"SASSARI";"Sardegna";"Complesso di Sant'Imbenia";"Edifici e strutture antiche";"Villaggi nuragici";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20709";838;"40.6184366347339";"8.19145537431191";
"Alghero";"SASSARI";"Sardegna";"Fertilia";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=748&v=2&c=45&t=1";1,779;"40.5942592741702";"8.29044364875297";
"Alghero";"SASSARI";"Sardegna";"Fertilia, citta' di fondazione";"Insediamenti antichi";"Edifici razionalisti";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=19360";1,062;"40.5924967830106";"8.2837240731323";
"Alghero";"SASSARI";"Sardegna";"Fertilia, ponte romano";"Edifici e strutture antiche";"Ponti";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20928";777;"40.5958771436355";"8.28675181047792";
"Alghero";"SASSARI";"Sardegna";"Foradada";"Isole";"Isole";"http://www.sardegnaturismo.it/index.php?xsl=5&s=3517&v=2&c=58&t=1";919;"40.5705133043146";"8.15135675538483";
"Alghero";"SASSARI";"Sardegna";"Grotta dei Palombi";"Grotte mare";"Grotte mare";"http://www.sardegnaturismo.it/index.php?xsl=5&v=2&c=2408&c1=2129&t=1&s=3780";706;"40.5709022740932";"8.15199509512099";
"Alghero";"SASSARI";"Sardegna";"Grotta di Nettuno - Alghero";"Grotte mare";"Grotte mare";"http://www.sardegnaturismo.it/index.php?xsl=5&v=2&c=2408&c1=2129&t=1&s=112";705;"40.5650032450397";"8.16013191101801";
"Alghero";"SASSARI";"Sardegna";"Grotta Pizzi e Ricami - Alghero";"Grotte mare";"Grotte mare";"http://www.sardegnaturismo.it/index.php?xsl=5&v=2&c=2408&c1=2129&t=1&s=3778";704;"40.5622917154701";"8.16485318455591";
"Alghero";"SASSARI";"Sardegna";"Il Ttramariglio";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=661&v=2&c=45&t=1";1,898;"40.5896100929572";"8.16933145585141";
"Alghero";"SASSARI";"Sardegna";"La Dragunara";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=716&v=2&c=45&t=1";1,899;"40.575950151774";"8.16091756963377";
"Alghero";"SASSARI";"Sardegna";"Las tronas";"Spiagge";"Rocce";"http://www.sardegnaturismo.it/index.php?xsl=5&s=783&v=2&c=45&t=1";1,900;"40.5505964971475";"8.31746250948783";
"Alghero";"SASSARI";"Sardegna";"Lazzaretto";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=563&v=2&c=45&t=1";1,828;"40.5824129727373";"8.24679170887296";
"Alghero";"SASSARI";"Sardegna";"Le bombarde";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=565&v=2&c=45&t=1";1,829;"40.584364667052";"8.2580270377658";
"Alghero";"SASSARI";"Sardegna";"Maria Pia";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=576&v=2&c=45&t=1";1,685;"40.586102016012";"8.30668428173615";
"Alghero";"SASSARI";"Sardegna";"Marina di Alghero";"Porti";"Porto turistico";"http://www.sardegnaturismo.it/index.php?xsl=5&s=736&v=2&c=&t=1";1,291;"40.5638399166288";"8.30699696869808";
"Alghero";"SASSARI";"Sardegna";"Marina di Cala Tramariglio";"Porti";"Porto turistico";"http://www.sardegnaturismo.it/index.php?xsl=5&s=769&v=2&c=46&c1=&t=1";1,409;"40.5917694924407";"8.16842422662599";
"Alghero";"SASSARI";"Sardegna";"Marina di Porto Conte";"Porti";"Porto turistico";"http://www.sardegnaturismo.it/index.php?xsl=5&s=813&v=2&c=46&c1=&t=1";1,293;"40.5950706826058";"8.21174168038562";
"Alghero";"SASSARI";"Sardegna";"Mugoni";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=592&v=2&c=45&t=1";1,686;"40.6177522821224";"8.2021237576911";
"Alghero";"SASSARI";"Sardegna";"Museo archeologico e storico-etnografico";"Museo";"Museo";"http://www.sardegnacultura.it/j/v/253?s=24629&v=2&c=2487&c1=2126&visb=&t=1";5,823;"40.6397396891752";"8.32428001685634";
"Alghero";"SASSARI";"Sardegna";"Museo diocesano";"Museo";"Museo";"http://www.sardegnacultura.it/j/v/253?s=24613&v=2&c=2487&c1=2126&visb=&t=1";5,825;"40.5592441919222";"8.31310422111883";
"Alghero";"SASSARI";"Sardegna";"Museo naturalistico";"Museo";"Museo";"http://www.sardegnacultura.it/j/v/253?s=24612&v=2&c=2487&c1=2126&visb=&t=1";5,824;"40.5568384700588";"8.31602941218919";
"Alghero";"SASSARI";"Sardegna";"Necropoli di Anghelu Ruju";"Spazi sacri e funerari";"Necropoli";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20740";1,472;"40.6326779738069";"8.32633780826689";
"Alghero";"SASSARI";"Sardegna";"Necropoli di Santu Pedru";"Spazi sacri e funerari";"Domus de janas";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21684";1,450;"40.6238990952928";"8.40308551907816";
"Alghero";"SASSARI";"Sardegna";"Nuraghe Sant'Imbenia";"Edifici e strutture antiche";"Villaggi nuragici";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20709";839;"40.6226975242425";"8.19668141360846";
"Alghero";"SASSARI";"Sardegna";"Palazzo Civico";"Insediamenti antichi";"Edilizia civile";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18258";1,031;"40.5588406840482";"8.31415965524791";
"Alghero";"SASSARI";"Sardegna";"Palazzo Lavagna";"Insediamenti antichi";"Edilizia civile";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18265";1,178;"40.5595384515757";"8.31384516840934";
"Alghero";"SASSARI";"Sardegna";"Palazzo Peretti";"Insediamenti antichi";"Case e palazzi";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=18448";1,032;"40.5584895170555";"8.31474882772265";
"Alghero";"SASSARI";"Sardegna";"Parco Naturale Regionale Porto Conte - Capo Caccia";"Parchi";"Parchi";"http://www.sardegnaturismo.it/index.php?xsl=5&s=5653&v=2&c=&t=1";1,269;"40.6083922610465";"8.2110395658273";
"Alghero";"SASSARI";"Sardegna";"Porto Conte";"Foreste";"Foreste";"http://www.sardegnaturismo.it/index.php?xsl=5&s=3173&v=2&c=3002&t=1";697;"40.6159404766322";"8.21064081390185";
"Alghero";"SASSARI";"Sardegna";"Porto Conte";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=609&v=2&c=45&t=1";1,780;"40.597351863389";"8.21864653210776";
"Alghero";"SASSARI";"Sardegna";"Punta negra";"Spiagge";"Rocce";"http://www.sardegnaturismo.it/index.php?xsl=5&s=635&v=2&c=45&t=1";1,902;"40.5835622970457";"8.26614109808351";
"Alghero";"SASSARI";"Sardegna";"San Giovanni";"Spiagge";"Sabbia";"http://www.sardegnaturismo.it/index.php?xsl=5&s=569&v=2&c=45&t=1";1,687;"40.5735745444723";"8.31667685473219";
"Alghero";"SASSARI";"Sardegna";"Scuole elementari del Sacro Cuore";"Insediamenti antichi";"Edifici storicisti";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21556";1,034;"40.5588803687967";"8.31674442686944";
"Alghero";"SASSARI";"Sardegna";"Teatro civico";"Insediamenti antichi";"Edifici storicisti";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21563";1,035;"40.5582410535239";"8.31306502131799";
"Alghero";"SASSARI";"Sardegna";"Villa di Sant'Imberia";"Insediamenti antichi";"Insediamenti romani";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21302";1,033;"40.6166366915566";"8.18969973276699";
"Alghero";"SASSARI";"Sardegna";"Villa Sant'Elia";"Insediamenti antichi";"Edifici storicisti";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=19368";1,204;"40.5504413141221";"8.31819278641531";
"Anela";"SASSARI";"Sardegna";"Anela";"Città e paesi";"Paese";"http://www.comunas.it/xml/comune.php?istat=090004";47;"40.4458588229188";"9.05403362824461";
"Anela";"SASSARI";"Sardegna";"Chiesa di Santa Maria di Mesumundu";"Chiese";"Chiese";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17747";401;"40.4483146281581";"9.05909600616755";
"Anela";"SASSARI";"Sardegna";"Domus de janas di Sos Furrighesos";"Spazi sacri e funerari";"Domus de janas";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=20749";1,473;"40.4805542399671";"8.97382999132969";
"Anela";"SASSARI";"Sardegna";"Forest'Anela";"Foreste";"Foreste";"http://www.sardegnaturismo.it/index.php?xsl=5&s=3178&v=2&c=3002&t=1";687;"40.4560473071856";"9.02004151018556";
"Anela";"SASSARI";"Sardegna";"Goceano";"Monti";"Monti";"http://www.sardegnaturismo.it/index.php?xsl=5&s=3159&v=2&c=3003&t=1";978;"40.462140246805";"9.00165334757885";
"Ardara";"SASSARI";"Sardegna";"Ardara";"Città e paesi";"Paese";"http://www.comunas.it/xml/comune.php?istat=090005";48;"40.6233179262819";"8.81061663433001";
"Ardara";"SASSARI";"Sardegna";"Chiese Santa Maria del Regno";"Chiese";"Chiese";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=17761";461;"40.6241044741756";"8.81033721974815";
"Banari";"SASSARI";"Sardegna";"Banari";"Città e paesi";"Paese";"http://www.comunas.it/xml/comune.php?istat=090007";49;"40.5712168250066";"8.69912185319582";
"Banari";"SASSARI";"Sardegna";"Museo d'arte moderna";"Museo";"Museo";"http://www.sardegnacultura.it/j/v/253?s=22506&v=2&c=2487&c1=2126&visb=&t=1";5,809;"40.5730345012767";"8.69726875950829";
"Benetutti";"SASSARI";"Sardegna";"Benetutti";"Città e paesi";"Paese";"http://www.comunas.it/xml/comune.php?istat=090008";50;"40.4551305377457";"9.17207852879186";
"Benetutti";"SASSARI";"Sardegna";"Dolmen di Monte Maone";"Monumenti megalitici";"Dolmen";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21437";991;"40.4459362921472";"9.16884271528927";
"Benetutti";"SASSARI";"Sardegna";"Domus de janas di Molimentos";"Spazi sacri e funerari";"Domus de janas";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21447";1,477;"40.4436633116037";"9.16172143552966";
"Benetutti";"SASSARI";"Sardegna";"La Collezione Soddu Tanda";"Museo";"Museo";"http://www.sardegnacultura.it/j/v/253?s=28539&v=2&c=2487&c1=2126&visb=&t=1";5,907;"40.4566747876361";"9.170798149938";
"Bessude";"SASSARI";"Sardegna";"Bessude";"Città e paesi";"Paese";"http://www.comunas.it/xml/comune.php?istat=090010";52;"40.5535846004094";"8.73132556509586";
"Bonnanaro";"SASSARI";"Sardegna";"Bonnanaro";"Città e paesi";"Paese";"http://www.comunas.it/xml/comune.php?istat=090011";53;"40.5338537806434";"8.76246341347699";
"Bonnanaro";"SASSARI";"Sardegna";"Domus de janas di Corona Moltana";"Spazi sacri e funerari";"Domus de janas";"http://www.sardegnacultura.it/j/v/253?v=2&c=2488&t=1&s=21685";1,478;"40.5237140799821";"8.78307682261149";
"Bono";"SASSARI";"Sardegna";"Bono";"Città e paesi";"Paese";"http://www.comunas.it/xml/comune.php?istat=090012";54;"40.4146531075593";"9.03045566454099";
"Bono";"SASSARI";"Sardegna";"Monte Pisanu";"Foreste";"Foreste";"http://www.sardegnaturismo.it/index.php?xsl=5&s=3177&v=2&c=3002&t=1";695;"40.4401295770683";"8.9738313302696";
